Key,Name,Period,Long,Lat
1,Planoendothyra,Missourian,-79.996109,40.440556
2,Leptomitus,Dyeran,-76.305832,40.037777
3,Orbiculoidea,Eifelian,-78.389168,40.427223
4,Lingula,Eifelian,-78.271667,40.478333
5,Favosites,Givetian,-77.25,40.5
6,Truncalosia,Eifelian,-77.860275,40.793331
7,Stereolasma,Givetian,-77.520836,40.049999
8,Anthracospirifer,Brigantian,-79.616669,41.030556
9,Byronia,Delamaran,-76.300003,40.116669
10,Yochelcionella americana,Dyeran,-76.85083,39.928612
11,Alokistocare,Solvan,-78.297501,40.264721
12,Alokistocare,Solvan,-78,40
13,Blairella triangularis,Solvan,-78.106392,40.665001
14,Cliffia,Steptoean,-78.504166,40.018612
15,Pseudosaratogia,Steptoean,-78.407219,40.170277
16,,Dyeran,-76.349998,40.083332
17,Tetradella,Eifelian,-76.529167,40.478611
18,Bollia,Eifelian,-77.186668,40.419724
19,Bollia,Eifelian,-77.5,41.099998
20,Aparchites,Eifelian,-77.57222,40.599998
21,Aparchites,Eifelian,-77.699997,40.541668
22,Aparchites,Eifelian,-78.077782,39.733891
23,Cupularostrum congregata,Givetian,-76.916664,40.333332
24,Favosites,Givetian,-77.093613,40.311111
25,Sulcoretepora,Givetian,-77.166664,40.333332
26,Fenestella,Givetian,-77.166664,40.416668
27,Fenestellida,Givetian,-77,40.416668
28,Fenestella,Givetian,-76.916664,40.5
29,Bonnia,Dyeran,-76.408607,40.037224
30,Lepidocystis wanneri,Dyeran,-76.728058,39.995834
31,Nisusia,Dyeran,-75.124168,40.4375
32,Nisusia,Dyeran,-76.360275,40.052776
33,Kochiella,Dyeran,-76.728058,39.962502
34,Cordaites,Early Pennsylvanian,-76.216667,41.466667
35,Arthrophycus,Silurian,-75.143333,40.979168
36,Arthrophycus,Llandovery,-76.355003,40.655834
37,Parahughmilleria,Wenlock,-76.613052,40.963333
38,Lingulidae,Ludlow,-77.503334,39.905556
39,Archaeopteris,Late Devonian,-78.283333,41.816666
40,Archaeopteris,Famennian,-78.366669,41.816666
41,Archaeopteris,Frasnian,-79.466667,39.849998
42,Archaeopteris,Late Frasnian,-79.51667,40.816666
43,Archaeopteris,Early Famennian,-75.800003,41.333332
44,Archaeopteris,Late Devonian,-76.050003,41.616669
45,Archaeopteris,Late Devonian,-75.783333,41.583332
46,Blarina carolinensis,Irvingtonian,-77.199997,39.799999
47,Scalopus,Irvingtonian,-75.300003,40.200001
48,Barinophyton,Famennian,-78.199997,41.783333
49,Lagenospermum,Mississippian,-76.48333,40.549999
50,Lagenospermum,Mississippian,-78.484444,40.49778
51,,Late Devonian,-79.900002,41.900002
52,Adiantites,Frasnian,-78.397499,40.64389
53,Adiantites,Tournaisian,-78.48333,40.49778
54,Archaeopteris,Mississippian,-77.599998,41.233334
55,Adiantites,Tournaisian,-76.184166,40.68111
56,Adiantites,Mississippian,-76.235832,40.667778
57,,Mississippian,-79.449165,41.428612
58,Favositidae,Pridoli,-77,41
59,,Visean,-75.736115,40.863056
60,,Visean,-76.184166,40.18111
61,,Visean,-76.496666,40.544998
62,,Visean,-76.496666,40.55611
63,,Visean,-78.252777,40.165279
64,Adiantites,Tournaisian,-78.439003,41.027
65,Adiantites,Tournaisian,-78.728996,41.419998
66,Lagenospermum,Tournaisian,-78.555,41.212002
67,Pecopteris,Mississippian,-75.783333,40.866669
68,Chordata,Mississippian,-78.633331,41.25
69,Bothriolepis,Famennian,-77.083336,41.333332
70,Euphyllophytina,Famennian,-77.050003,41.299999
71,Adiantites,Mississippian,-78.650002,41.25
72,,Mississippian,-78.550003,41.116669
73,,Early Devonian,-79,41.833332
74,Barinophyton,Famennian,-78.25,41.783333
75,,Frasnian,-75.199997,41.033333
76,Brachiopoda,Early Devonian,-77.783333,40.933334
77,Euphyllophytina,Mississippian,-75.98333,41.066666
78,Archaeopteris,Late Devonian,-75.916664,41.666668
79,Alethopteris,Pennsylvanian,-76.155785,40.725632
80,Rutiodon,Late Triassic,-75.266998,40.152
81,Dasycladacea,Edenian,-76.533333,40.483334
82,Gigantocharinus szatmaryi,Late Famennian,-77.680275,41.344444
83,Tetrapoda,Pennsylvanian,-76.166664,40.816666
84,Favosites,Wenlock,-77.449997,41.133331
85,Fistuliporella,Pridoli,-78.383331,40.533333
86,Favosites,Wenlock,-76.924164,41.102501
87,Crurithyris planoconvexa,Virgilian,-79.78833,40.572777
88,Plasiochiton curiosus,Givetian,-76.955833,40.614445
89,Grallator tenuis,Late Triassic,-76.803864,40.158424
90,Rhynchosauroides,Norian,-75.43,40.224167
91,Ambocoelia,Famennian,-76.505798,41.959999
92,Ambocoelia,Frasnian,-78.186302,41.951302
93,Ambocoelia,Famennian,-76.6175,41.987499
94,Ambocoelia umbonata,Frasnian,-77.130798,40.477699
95,Ambocoelia umbonata,Frasnian,-79.1577,41.8536
96,Athyris,Frasnian,-80.349998,41.733002
97,Athyris,Frasnian,-77.778,41.807201
98,Athyris,Famennian,-76.7136,41.957802
99,Athyris,Famennian,-77.107498,41.957802
