"","SID","Station","AvgDLSpF","Latitude","Longitude","Elevation","DisttoCoas","geometry"
"1",1,"Edenton, NC",85.27,36.02,-76.55,10,1.252,c(-76.55, 36.02)
"2",2,"Hopewell, VA",96,37.3,-77.28,40,46.268,c(-77.28, 37.3)
"3",3,"Tarboro, NC",93.22,35.88,-77.53,35,45.256,c(-77.53, 35.88)
"4",4,"Kinston, NC",91.44,35.2,-77.55,24,45.426,c(-77.55, 35.2)
"5",5,"Southport, NC",82.85,33.92,-78.02,20,3.418,c(-78.02, 33.92)
"6",6,"Louisburg, NC",112.55,36.1,-78.3,260,88.451,c(-78.3, 36.1)
"7",7,"Smithfield, NC",97.92,35.52,-78.35,150,88.075,c(-78.35, 35.52)
"8",8,"Farmville, VA",110.62,37.33,-78.38,450,97.08,c(-78.38, 37.33)
"9",9,"Henderson, NC",110.67,36.32,-78.43,512,97.904,c(-78.43, 36.32)
"10",10,"Fayetteville, NC",90.86,35.07,-78.87,96,84.129,c(-78.87, 35.07)
"11",11,"Lumberton, NC",92.31,34.63,-79.03,131,60.131,c(-79.03, 34.63)
"12",12,"Conway, SC",75.42,33.83,-79.05,20,13.628,c(-79.05, 33.83)
"13",13,"Chapel Hill, NC",101.28,35.92,-79.08,500,131.582,c(-79.08, 35.92)
"14",14,"Danville, VA",99.53,36.58,-79.38,410,153.227,c(-79.38, 36.58)
"15",15,"Darlington, SC",85.77,34.3,-79.88,150,70.463,c(-79.88, 34.3)
"16",16,"Cheraw, SC",89.55,34.73,-79.88,140,91.305,c(-79.88, 34.73)
"17",17,"Rocky Mt, VA",111.15,36.98,-79.9,1315,179.817,c(-79.9, 36.98)
"18",18,"Charlestown City, SC",84.63,32.78,-79.93,10,4.948,c(-79.93, 32.78)
"19",19,"Albemarle, NC",98.53,35.4,-80.2,610,138.766,c(-80.2, 35.4)
"20",20,"Summerville, SC",84.27,33.03,-80.23,65,29.345,c(-80.23, 33.03)
"21",21,"Sumter, SC",85.43,33.93,-80.35,177,78.078,c(-80.35, 33.93)
"22",22,"Monroe, NC",100.8,34.98,-80.52,550,128.849,c(-80.52, 34.98)
